x1,y1,x2,y2
5.437662,-2.576301,5.607776,-1.796014
5.647199,-2.680908,5.241123,-2.549750
5.241123,-2.549750,4.835047,-2.418592
5.241123,-2.549750,4.499434,-2.024562
4.499434,-2.024562,4.128589,-1.761968
4.128589,-1.761968,3.943166,-1.630671
3.943166,-1.630671,3.757744,-1.499374
3.943166,-1.630671,4.104434,-1.634266
4.128589,-1.761968,4.033196,-2.029548
4.033196,-2.029548,3.937803,-2.297128
4.033196,-2.029548,3.604541,-2.963042
4.499434,-2.024562,4.765465,-1.186865
5.207534,-4.173282,5.184179,-4.042177
4.778166,-4.814862,4.280162,-4.735536
4.280162,-4.735536,3.782159,-4.656209
4.280162,-4.735536,2.653584,-4.101382
3.768236,-5.702279,3.264565,-5.441145
3.187675,-5.948115,3.556932,-6.124149
0.554159,-5.744041,1.437727,-8.757897
-0.918235,-5.048296,-0.431804,-5.187956
-0.431804,-5.187956,0.054628,-5.327616
-0.431804,-5.187956,-0.428785,-4.109928
-1.286334,-4.874359,-1.149022,-4.826502
-1.654432,-4.700423,-1.582385,-4.668416
-2.769683,-3.898015,-2.110355,-4.059267
-3.148738,-3.443480,-2.799112,-3.290716
-2.799112,-3.290716,-2.449487,-3.137951
-2.449487,-3.137951,-1.750237,-2.832423
-2.449487,-3.137951,-1.609241,-2.438124
-2.799112,-3.290716,-2.892239,-3.128452
-3.527792,-2.988945,-4.468215,-3.675954
-3.906846,-2.534410,-2.684842,-1.796815
-2.684842,-1.796815,-1.462838,-1.059221
-1.462838,-1.059221,-0.851836,-0.690424
-0.851836,-0.690424,-0.240834,-0.321627
-0.240834,-0.321627,0.064667,-0.137228
0.064667,-0.137228,0.370168,0.047170
0.370168,0.047170,0.981170,0.415967
0.370168,0.047170,0.458072,1.554546
0.458072,1.554546,0.502024,2.308234
0.502024,2.308234,0.545976,3.061922
0.502024,2.308234,0.387277,3.203282
0.387277,3.203282,0.272530,4.098331
0.387277,3.203282,0.968963,3.969543
0.458072,1.554546,0.816370,1.213111
0.064667,-0.137228,0.512406,-0.379345
-0.240834,-0.321627,-0.466628,-0.819422
-0.851836,-0.690424,-0.887205,-0.962144
-0.887205,-0.962144,-0.922575,-1.233863
-0.887205,-0.962144,-0.647924,-1.485894
-0.647924,-1.485894,-0.528283,-1.747769
-0.528283,-1.747769,-0.408643,-2.009644
-0.528283,-1.747769,-0.140389,-2.580632
-0.140389,-2.580632,0.247505,-3.413495
-0.140389,-2.580632,0.752892,-3.697928
-0.647924,-1.485894,0.341502,-1.455428
-1.462838,-1.059221,-1.556139,0.581378
-2.684842,-1.796815,-2.998444,-1.535386
-3.958203,3.897824,-4.368114,4.590289
-3.694323,4.304636,-3.746757,4.054384
-3.166562,5.118259,-2.762364,4.215827
-2.762364,4.215827,-2.358165,3.313395
-2.762364,4.215827,-3.014380,3.573870
-3.014380,3.573870,-3.266396,2.931913
-3.014380,3.573870,-2.763790,2.699591
-2.763790,2.699591,-2.513199,1.825312
-2.763790,2.699591,-2.590716,2.242805
-2.638802,5.931883,-3.349034,6.096072
-3.349034,6.096072,-4.059267,6.260262
-3.349034,6.096072,-4.749715,6.238594
-4.749715,6.238594,-6.150395,6.381115
-4.749715,6.238594,-5.679800,6.430555
-2.111042,6.745506,0.191752,6.545000
0.191752,6.545000,2.494545,6.344493
2.494545,6.344493,4.797338,6.143986
4.797338,6.143986,5.948735,6.043733
5.948735,6.043733,7.100131,5.943480
5.948735,6.043733,7.469286,5.119251
7.469286,5.119251,8.989837,4.194769
7.469286,5.119251,7.501755,3.693655
4.797338,6.143986,5.255659,5.003967
5.255659,5.003967,5.484820,4.433958
5.484820,4.433958,5.713981,3.863948
5.484820,4.433958,5.846600,3.970725
5.846600,3.970725,6.208380,3.507492
5.846600,3.970725,5.260475,3.149815
5.255659,5.003967,4.734065,4.380551
4.734065,4.380551,4.212470,3.757134
4.734065,4.380551,3.265175,3.287149
2.494545,6.344493,3.097324,5.961791
0.191752,6.545000,-0.466018,5.903195
-1.583281,7.559130,-1.741691,7.828303
-1.055521,8.372753,-0.017396,7.988220
-0.791641,8.779565,-1.566358,9.199957
-1.566358,9.199957,-2.341075,9.620350
-1.566358,9.199957,-2.555925,8.531449
-0.527760,9.186377,-0.361034,9.866939
-0.263880,9.593188,0.716880,8.939787
